obs,buszMfo
1995Q1,131.8
1995Q2,125
1995Q3,108.3
1995Q4,128.7
1996Q1,132.5
1996Q2,127.5
1996Q3,110.1
1996Q4,134.4
1997Q1,139.7
1997Q2,131.4
1997Q3,113
1997Q4,133.9
1998Q1,139.9
1998Q2,135.7
1998Q3,118.9
1998Q4,140.1
1999Q1,144.4
1999Q2,138.2
1999Q3,120.8
1999Q4,140.7
2000Q1,151
2000Q2,144.1
2000Q3,127.8
2000Q4,150.6
2001Q1,155.8
2001Q2,150.5
2001Q3,129.7
2001Q4,152.9
2002Q1,159.5
2002Q2,151.1
2002Q3,128.9
2002Q4,147.6
2003Q1,154.2
2003Q2,147.6
2003Q3,127.9
2003Q4,149.6
2004Q1,153.5
2004Q2,144.3
2004Q3,124.4
2004Q4,147.7
2005Q1,147.9
2005Q2,142.7
2005Q3,122.3
2005Q4,145.8
2006Q1,150.7
2006Q2,141.2
2006Q3,122.4
2006Q4,144.7
2007Q1,141.7
2007Q2,135
2007Q3,112.1
2007Q4,137.8
2008Q1,147.9
2008Q2,142.9
2008Q3,114.6
2008Q4,135.7
2009Q1,138.1
2009Q2,127.8
2009Q3,106.4
2009Q4,130.3
2010Q1,134.2
2010Q2,128.6
2010Q3,110.1
2010Q4,134.3
2011Q1,136.1
2011Q2,130.5
2011Q3,113.1
2011Q4,135
2012Q1,138.2
2012Q2,131.9
2012Q3,113.6
2012Q4,134.9
2013Q1,135.2
2013Q2,132.9
2013Q3,114.6
2013Q4,136.7
2014Q1,138.6
2014Q2,133
